,architecture,num_epochs,num_processes,threads,is_distributed,training_time,accuracy,avg_loss
30,conv,2,1,8,n,124.84241223335266,89.65333333333334,0.3335360255346944
31,ff,2,2,12,y,49.19164299964905,47.45,2.0412570866584776
32,conv,2,1,3,n,46.683711767196655,89.91333333333333,0.3358774573934575
33,conv,2,2,9,y,70.3486840724945,90.80166666666666,0.3123259904331217
34,conv,2,2,3,y,26.163667678833008,90.17666666666666,0.3230394090745598
35,ff,2,2,10,y,40.24116611480713,42.44833333333333,2.009310644022624
36,ff,2,2,7,y,28.016448736190796,39.821666666666665,1.7806839851220448
37,ff,2,1,14,n,57.2220401763916,45.425,1.9800188553810119
38,conv,2,1,7,n,110.15804505348206,90.925,0.30510652646323044
39,ff,2,1,11,n,52.962064027786255,51.028333333333336,1.8191409758885702
40,conv,2,1,8,n,125.15053868293762,90.30333333333333,0.3243342149823904
41,conv,2,2,10,y,77.2663791179657,90.07,0.33059341843500734
42,ff,2,1,16,n,40.65088176727295,54.435,2.0492200017293296
43,conv,2,2,12,y,95.4257161617279,91.55666666666667,0.29014107632339003
44,conv,2,2,6,y,54.84549260139465,89.415,0.3490705556947738
45,ff,2,1,5,n,28.53913164138794,39.163333333333334,1.9688973598162334
46,conv,2,2,16,y,151.88800859451294,89.29666666666667,0.3573505835297207
47,conv,2,2,10,y,77.001216173172,90.92166666666667,0.3053945166868468
48,conv,2,1,14,n,169.4018955230713,90.11333333333333,0.32140086581533156
49,conv,2,1,9,n,118.59911775588989,91.35833333333333,0.2916942234841486
50,ff,2,2,11,y,44.99809408187866,48.67333333333333,1.87051029326121
51,ff,2,1,10,n,47.575032472610474,47.403333333333336,2.1703602277119955
52,ff,2,1,2,n,21.543997764587402,36.71666666666667,1.88717568581899
53,ff,2,2,9,y,35.43080759048462,36.29833333333333,1.9569650614738465
54,ff,2,2,4,y,15.492055892944336,46.74166666666667,2.0779367277145386
55,ff,2,1,3,n,23.005350351333618,41.605,2.029649740187327
56,ff,2,2,13,y,53.87077260017395,53.17,1.9647467062632242
57,ff,2,1,6,n,35.25099062919617,52.095,2.0580324703852337
58,ff,2,1,5,n,28.550336599349976,61.22833333333333,1.4357693792025248
59,conv,2,2,5,y,43.319271087646484,90.31,0.3256434973483284
60,conv,2,2,7,y,69.2489538192749,90.63333333333334,0.3107969995175799
61,ff,2,1,9,n,42.60413670539856,44.30833333333333,2.0135232442855835
62,ff,2,2,16,y,26.430790901184082,47.791666666666664,1.8291319257100422
63,ff,2,1,12,n,51.182501792907715,26.77,2.1219593571662902
64,conv,2,1,5,n,70.29010581970215,91.615,0.28523332969310383
65,ff,2,1,13,n,53.864612340927124,43.67166666666667,1.7216153808752697
66,ff,2,1,1,n,20.536506175994873,30.446666666666665,1.9344943601608275
67,conv,2,1,2,n,46.635937213897705,90.04666666666667,0.33343422460108996
68,ff,2,1,7,n,40.054214000701904,39.24166666666667,1.8622954789161683
