,architecture,num_epochs,num_processes,threads,is_distributed,training_time,accuracy,avg_loss,batch_size
41,conv,2,4,8,y,47.000051736831665,68.06166666666667,1.9105510467847189,64
42,conv,2,4,15,y,67.13033294677734,85.13666666666667,0.554759174037973,32
43,conv,2,2,2,y,17.2557475566864,17.945,2.284885829194387,256
44,conv,2,3,9,y,56.11786770820618,91.48666666666666,0.28331608690321447,12
45,conv,2,3,9,y,10.468113660812378,21.511666666666667,2.2922707005182903,256
46,conv,2,3,14,y,14.01410460472107,38.21333333333333,2.2599239488919576,256
47,conv,2,4,14,y,29.87974715232849,61.556666666666665,2.0723367779095967,64
48,conv,2,3,13,y,22.02928113937378,54.89833333333333,2.1177026209513348,64
49,conv,2,4,2,y,9.785826444625854,58.19166666666667,2.1288279348055523,128
50,conv,2,4,10,y,10.937648057937622,30.973333333333333,2.272743339411418,256
51,conv,2,2,4,y,15.293597221374512,78.06,0.9736221119880676,64
52,conv,2,4,6,y,15.30818772315979,77.09333333333333,1.1935361637353896,64
53,conv,2,4,10,y,18.457119941711426,58.251666666666665,1.997447627131144,64
54,conv,2,3,7,y,11.124110221862793,49.385,2.196552215544383,128
55,conv,2,2,12,y,42.85472536087036,87.05,0.4533829027742147,32
56,conv,2,3,4,y,10.376935720443726,27.833333333333332,2.2670789154052735,128
57,conv,2,4,9,y,9.514433860778809,20.936666666666667,2.288463786760966,256
58,conv,2,3,2,y,13.946589469909668,82.94333333333333,0.6527652132709821,32
59,conv,2,4,16,y,202.15059280395508,90.39833333333333,0.32327487998381255,12
60,conv,2,2,16,y,23.880528688430786,46.96666666666667,2.141243849658966,128
61,conv,2,3,5,y,9.846295595169067,25.16,2.2830671876271564,256
62,conv,2,4,11,y,18.500650882720947,44.3,2.25334000231425,128
63,conv,2,3,5,y,10.485005617141724,37.346666666666664,2.2384678394317628,128
64,conv,2,3,9,y,55.91200137138367,89.64833333333333,0.34695483537515004,12
65,conv,2,2,7,y,12.623910665512085,21.31833333333333,2.2798390601476033,256
66,conv,2,4,9,y,10.797549486160278,41.255,2.2145964395523072,128
67,conv,2,3,4,y,26.89775848388672,90.145,0.3269225221055249,12
68,conv,2,3,6,y,10.453479528427124,37.086666666666666,2.2018874780019124,128
69,conv,2,2,16,y,24.265185832977295,43.635,2.182510926500956,128
70,conv,2,3,14,y,15.013340473175049,32.46333333333333,2.2686857738812765,256
71,conv,2,2,10,y,21.176509141921997,50.718333333333334,2.210267596244812,64
72,conv,2,3,7,y,9.958610773086548,13.445,2.28842464427948,256
73,conv,2,2,16,y,22.652156352996826,18.471666666666668,2.28173604110082,256
74,conv,2,3,9,y,10.493313312530518,27.486666666666668,2.2811494360287985,256
75,conv,2,3,3,y,11.635382175445557,75.58666666666667,1.2893146763960521,64
76,conv,2,4,2,y,14.421514987945557,90.51333333333334,0.3205682783437272,12
77,conv,2,3,13,y,13.028973579406738,11.323333333333334,2.2985058323224385,256
78,conv,2,3,14,y,27.2701678276062,74.17166666666667,1.4888031380176545,64
79,conv,2,3,3,y,11.682973861694336,55.24,2.161430261739095,128
80,conv,2,2,2,y,17.46469020843506,69.03,1.712012063741684,64
81,conv,2,3,11,y,16.07316017150879,41.29666666666667,2.2554871150970457,128
82,conv,2,2,6,y,14.157747268676758,45.36833333333333,2.2378780249913532,128
83,conv,2,3,15,y,19.10572576522827,27.273333333333333,2.2676223392486574,128
